OS01G0104100,OS01G0124401,OS01G0159800,OS01G0205700,OS01G0307500,OS01G0343300,OS01G0506100,OS01G0534900,OS01G0571300,OS01G0575200,OS01G0612600,OS01G0664100,OS01G0699100,OS01G0733200,Label
0,0,0,4,0,6.0128,0,2.3219,0,3.1699,6.4878,4.2854,0,0,0
0,0,0,4.7004,0,5.9158,2.8074,3.8074,0,2,5.9741,4.4919,2,2,0
0,0,0,1.585,0,6.3808,3.4594,4,3.4594,0,5.935,4,1.585,0,0
0,0,0,2.8074,0,6.1803,2.8074,3.3219,2.8074,2,7.0901,4.9773,4.5546,0,0
0,0,0,4.3219,0,6.2477,0,3.1699,0,0,6.3445,4.7549,4.5546,0,0
0,0,0,4.2479,0,5.7698,0,3.858,0,3.3219,6.8579,3.858,4.7549,3.3219,0
0,0,0,2,2,5.0224,2,0,0,0,6.4893,3.9069,2,0,0
0,0,3.9069,3.3219,0,6.114,2.585,2.585,0,2.585,6.1659,5.2479,0,0,0
0,0,0,4.4594,2.585,5.3923,3.4594,3.4594,0,0,6.1266,4,3.4594,0,0
0,0,0,0,3.4594,4.0875,2.8074,2.8074,0,0,5.7758,2.8074,2.8074,2.8074,0
0,0,0,2.8074,3.7004,6.5075,3.7004,3.7004,0,0,6.1424,4.585,0,0,0
0,0,0,4.4594,0,6.0391,0,0,0,0,6.1735,5.0444,4.4594,0,0
0,0,0,3.8074,0,5.2854,2.585,2.585,0,0,5.93,4.3219,0,0,0
0,0,3.1699,3.1699,0,4.9069,0,3.1699,0,0,5.7605,5.5567,3.1699,0,0
0,0,0,0,0,5.6026,3.4594,0,0,3.4594,5.9241,0,3.4594,3.4594,0
0,0,0,0,4,5.3107,0,0,0,4,5,4,4,0,0
1,0,2.585,2.585,0,6.4707,2.585,1,0,2,7.228,4.3923,4.9227,0,0
1.585,0,0,3.3219,0,6.2219,0,1.585,0,1.585,6.8646,5.5644,4.2479,0,0
0,0,2.585,3.9542,2,7.4163,0,2.585,2,0,6.7687,3.7004,2.585,0,0
0,0,0,3.8074,0,6.5264,0,1.585,0,3.1699,6.4997,3.1699,3.1699,0,0
0,0,2.585,4.4263,0,6.1717,0,2.585,0,3.7004,6.4978,3.7004,3.7004,0,0
0,0,3.9069,0,0,6.2955,0,2.3219,0,2.3219,6.4874,3.9069,4.3923,0,0
0,0,2.3219,3.3219,0,5.9572,0,3.3219,0,0,7.0011,4.2479,5.3399,2.3219,0
0,0,0,0,0,6.5755,0,3,0,3.3219,6.7614,3.8074,4.5546,0,0
2,2,0,2.8074,0,6.071,0,4.1293,0,2.8074,6.5057,5.3338,4.8074,0,0
0,0,0,3.585,0,6.8355,0,0,0,2.3219,6.6221,3.585,0,0,0
0,0,0,2.3219,0,7.1431,0,2.3219,0,2.3219,6.3747,4.1699,3.7004,0,0
0,2,2,2,0,6.9153,0,3.9069,0,4.1293,7.1305,5.0224,3.9069,0,0
2.3219,0,0,3.1699,0,6.5507,3.1699,2.3219,0,0,6.439,5.0444,3.7004,0,0
0,0,0,3.585,0,6.7858,4.1699,3.585,0,0,6.8946,4.4263,5.4919,0,0
0,0,0,3.4594,0,3.4594,3.4594,0,0,0,6.5204,5.4263,2,0,0
0,0,2.3219,0,0,5.9812,2.3219,5.3923,0,0,6.8696,3.8074,0,0,0
0,0,0,4.8826,0,6.7242,0,3.1699,0,3.1699,6.2405,5.3038,0,0,0
0,0,0,0,0,5.851,2.3219,3.7004,0,2.3219,6.6682,5.6551,3.7004,0,0
0,0,0,3.1699,2.3219,6.1815,0,3.1699,0,0,6.4806,3.7004,0,0,0
0,0,0,3.585,0,6.8495,2.8074,5.0444,0,3.585,6.6286,4.585,4.0875,0,0
0,0,0,2.3219,0,6.4219,4.5236,2.3219,0,0,6.7137,4.3219,3.585,0,0
0,0,3.585,0,0,6.519,0,2.8074,0,0,6.898,4.5236,5.2095,0,0
2.585,0,0,3.3219,0,6.8872,0,4.4594,2.585,0,6.379,4.4594,4.4594,0,0
0,4.6439,2.3219,4.2479,0,7.1028,3.3219,3.3219,0,2.3219,6.9893,3.7004,3.3219,2.3219,0
0,7.7328,2,3.7004,2,7.1358,2,2,0,0,6.1609,4.9307,4.2479,0,0
0,0,2.8074,2.8074,0,6.0461,0,0,0,2.8074,6.5537,3.585,4.4594,0,0
0,4.1699,0,4.1699,2.3219,6.3189,0,0,0,3.585,6.6219,4.7004,5.8202,0,0
0,0,0,0,0,6.0259,0,0,0,4.6439,6.2813,3.7004,4.6439,0,0
0,0,0,2.585,0,6.6642,2.585,2.585,0,0,6.4673,4.7814,4.5236,0,0
0,0,0,3.585,0,4.4594,3,2.3219,0,4,6.5273,5.2854,3,0,0
0,0,0,2.585,0,6.5365,2.585,2.585,0,0,6.9134,4.1699,2.585,0,0
0,0,0,4.4594,0,6.3268,0,2.585,0,0,6.5399,3.9069,0,0,0
0,0,0,5.2095,0,6.2055,2.8074,0,0,0,6.9578,2.8074,4,0,0
0,0,4.3219,4.8074,0,5.0661,0,2.8074,0,2.8074,6.6339,3.8074,2.8074,0,0
0,0,0,3.8074,0,6.0426,0,3.8074,0,0,5.7309,3.8074,5.0832,0,0
0,0,2.3219,4.0875,0,7.2546,0,0,0,3.585,6.3787,3.1699,4.585,0,0
2.585,0,0,4.2479,0,6.991,0,3.8074,0,0,6.3056,4.7004,0,0,0
0,0,0,0,3.4594,6.2166,3.4594,2.8074,0,3.4594,6.0448,4,4,2.8074,0
2.8074,0,2.8074,2.8074,0,5.889,0,3.585,0,2.8074,5.7816,2.8074,4.0875,0,0
3,0,0,0,0,6.0717,0,0,0,0,6.2529,0,0,0,0
0,0,0,3,0,6.0951,3.7004,4.3219,3,0,6.1863,4.7549,3,3,0
0,0,0,2.585,0,6.3623,0,0,0,4.7549,6.4401,4.5236,4.5236,0,0
2.585,0,0,3.7004,0,6.1568,2.585,2.585,0,2.585,6.5108,5.4594,4.7549,0,0
0,2.3219,0,2.3219,0,6.273,0,0,0,2.3219,6.273,4.6439,2.3219,0,0
0,0,2.8074,0,0,5.7793,3.7004,3.7004,0,3.7004,6.3158,4.9542,0,0,0
2.3219,0,2.3219,4.5236,0,6.6495,0,2.3219,2.3219,0,6.3116,5.2479,4,0,0
2.8074,0,2.8074,0,0,6.4168,2.8074,3.585,0,2.8074,5.9331,2.8074,0,2.8074,0
2.8074,0,2.8074,3.4594,0,5.9699,0,0,0,0,5.9158,2.8074,0,0,0
0,0,0,4.1699,0,4.7004,2.8074,2.8074,0,3.585,6.6568,5.6439,2.8074,0,0
0,0,0,4.7004,0,6.1043,3.3219,2.3219,0,3.3219,6.0503,4.2479,2.3219,0,0
0,0,0,3.585,0,5.9439,2.8074,3.585,0,2.8074,6.5237,2.8074,0,0,0
0,0,0,5.6704,0,5.9224,0,0,0,4.0875,6.6716,4.0875,0,2.8074,0
0,0,0,4,0,6.379,0,0,3,0,5.6404,0,3,0,0
0,0,0,3.1699,0,6.1014,0,0,0,0,5.8304,4.0875,3.1699,0,0
0,4.1699,2.8074,2.8074,0,6.7312,0,0,0,3.7004,5.8826,5.0875,3.7004,0,0
0,0,0,0,0,6.2935,0,2.8074,0,0,6.1558,5.6404,2.8074,0,0
0,0,0,4.7549,0,6.3399,0,0,0,0,6.1789,2.585,4.5546,0,0
0,2,0,3.9069,0,6.7408,0,2,0,0,6.2267,4.5236,2,0,0
0,0,0,3.8074,0,6.7682,3,3,0,0,6.1906,3,0,0,0
0,3.1699,0,4.9542,0,6.2698,0,0,0,3.1699,6.1119,4.3923,0,0,0
0,0,0,3,0,3,0,3,0,0,6.203,3,4,3,0
0,0,0,3.3219,0,6.7069,0,3.3219,0,0,6.0868,3.3219,0,0,0
0,0,0,0,0,6.1767,0,2.8074,0,2.8074,6.5182,4.858,2.8074,0,0
0,0,4,2.3219,0,6.7965,0,4.6439,0,2.3219,6.1902,4.6439,5.1293,0,0
0,0,3.3219,4.0875,0,6.3388,0,3.3219,0,0,6.4264,4.585,4.585,0,0
0,0,0,4.7004,0,6.2515,0,0,0,0,6.3005,4.1699,2.3219,0,0
0,0,0,2.585,0,6.5743,0,0,0,4,5.9957,4,0,0,0
0,0,0,2.8074,0,5.6879,2.8074,0,0,2.8074,6.1235,4.7814,2.8074,0,0
0,5.6817,3.9069,3.9069,0,6.4857,3,3,3,0,6.1689,4.3923,3.9069,3,0
0,0,0,0,0,5.8122,0,2.8074,0,0,5.7371,4.1699,4.1699,0,0
2.8074,2.8074,0,4.0875,0,5.1699,0,4.0875,0,0,6.6194,4.0875,0,0,0
0,0,0,0,0,5.7602,0,0,0,4.5236,5.975,5,4.5236,0,0
0,0,3.1699,4,0,6.2057,0,3.1699,0,0,6.0233,5.6559,4.4594,0,0
0,0,0,0,0,5.4702,0,0,0,3,6.1243,4.858,0,0,0
0,0,0,3.1699,0,5.4594,0,0,3.1699,0,6.0635,4.9542,4.9542,0,0
0,0,0,2.585,0,5.4919,0,2.585,0,2.585,6.3605,2.585,4.5236,0,0
0,0,0,3.7004,0,5.3219,2.8074,0,0,0,6.2215,5.3219,0,0,0
0,0,0,2.585,0,5.4594,0,0,0,0,6.0672,0,0,0,0
0,0,2.3219,0,0,5.7975,0,0,2.3219,0,6.5248,3.9069,4.5236,0,0
2.585,0,0,2.585,0,5.9392,4.6439,4.0875,0,0,6.7336,4.6439,4.0875,0,0
0,0,0,3.4594,0,5.649,3.4594,0,0,0,6.3268,4.3923,3.4594,0,0
0,0,0,3,0,5.6542,3,3,0,0,5.7361,5.2479,0,0,0
0,0,0,0,0,5.9359,0,4.585,0,3.1699,6.47,3.1699,4.585,0,0
0,0,0,0,0,6.7386,0,3.1699,3.1699,0,5.8726,5.2095,4.7004,0,0
0,2.8074,0,4.1699,0,6.416,0,4.7549,0,2.8074,6.2837,4.7549,5.8878,0,0
0,3,0,3,0,5.753,0,0,0,3,6.29,5.6568,0,0,0
2.585,0,0,2.585,0,5.9258,0,2.585,0,3.9069,6.5223,2.585,4.9069,0,0
0,0,0,3.3219,0,5.8686,0,3.3219,0,0,6.2909,3.3219,0,0,0
0,0,4.3923,4.9542,0,5.5509,0,0,0,4.3923,5.9948,5.745,0,0,0
0,0,3.4594,0,3.4594,6.1434,0,0,0,0,6.1434,4.858,0,0,0
0,0,0,0,0,5.8212,3,0,0,0,6.7704,4.3219,0,0,0
0,0,0,0,0,5.6191,0,0,3,0,5.6191,4.3923,0,0,0
0,0,0,3.3219,0,5,0,3.3219,0,3.3219,5.878,5.2479,3.3219,0,0
0,0,3.585,3.585,0,6.0732,3.585,0,0,4.858,6.2898,5.7219,3.585,0,0
3,0,0,0,0,6.2692,0,3,0,0,6.6276,4.3923,0,0,0
0,0,0,3.1699,0,5.6387,0,0,0,0,6.068,3.1699,4,0,0
0,3.1699,3.1699,0,0,3.9069,0,0,0,0,6.3916,3.9069,0,0,0
0,3.1699,3.1699,0,0,5.4601,0,3.1699,0,0,5.7296,4.7004,3.1699,0,0
0,0,2.8074,3.7004,1,7.098,1.585,3,1.585,2,7.0334,4.3923,3.9069,1,0
1.585,0,0,4.7004,0,6.9869,0,4.0875,0,1.585,6.6707,4.3219,1.585,0,0
0,0,0,3.3219,0,6.432,0,2,0,4.3923,6.7301,3.9069,3.9069,0,0
0,0,3,4.4594,0,6.0184,4.2479,4.4594,0,2,6.6985,0,3.3219,2,0
0,0,0,4.585,0,6.388,0,3.1699,0,0,6.06,0,2.3219,2.3219,0
0,0,0,3.585,0,6.6421,3.585,3.585,0,0,6.3361,4.0875,3.585,0,0
2.3219,0,0,3.8074,0,6.5022,2.3219,0,3.3219,3.3219,6.3749,3.8074,3.3219,0,0
0,0,2.585,4.9069,0,6.1809,2.585,0,0,0,6.2627,3.4594,3.4594,0,0
0,0,0,2,0,6.816,0,4.0875,0,0,6.04,3.4594,4.0875,0,0
0,0,0,2.8074,0,6.7725,0,0,0,0,6.382,5.4594,0,0,0
0,0,0,4.585,0,7.0061,0,0,0,0,6.0947,2.8074,2.8074,0,0
0,0,0,3.7004,0,5.9146,0,0,0,0,6.1568,2.3219,4.2479,2.3219,0
2.585,0,0,2.585,0,5.8017,0,0,2.585,0,6.6538,4.8074,3.4594,0,0
0,0,0,0,0,6.0266,0,2.8074,0,2.8074,6.8195,4.858,4.858,0,0
0,0,0,2.3219,0,6.6975,2.3219,2.3219,0,2.3219,6.8467,3.585,4.2479,0,0
0,0,0,0,0,6.7886,2.8074,2.8074,2.8074,0,6.4845,5.8288,5.3219,0,0
0,0,3.8074,4.5546,0,5.9006,2.585,2.585,0,2.585,6.4712,4.7549,2.585,0,0
2.8074,4.3219,0,2.8074,0,6.4578,4.3219,0,0,2.8074,6.2909,4.3219,0,0,0
0,0,0,0,0,6.2227,0,3.8074,0,2.3219,6.3152,3.3219,3.8074,0,0
2.585,0,0,0,0,7.1524,0,0,0,0,6.3901,4.3219,3.3219,2.585,0
2.585,0,0,0,2.585,6.4499,0,4.0875,0,0,5.9986,4.0875,3.585,0,0
0,0,0,4.5546,2.585,6.1809,2.585,2.585,0,0,5.9547,4.3219,2.585,0,0
0,0,2.585,3.3219,0,5.5546,0,4.2479,0,0,6.1663,4.4594,0,0,0
0,0,0,0,3.4594,6.5295,0,3.4594,3.4594,0,6.3968,3.4594,4.4594,0,0
3,0,3,3.8074,0,6.0219,3,3.8074,0,0,5.8452,3,0,0,0
0,0,0,0,0,6.5705,0,0,3.1699,3.1699,5.8637,3.9069,3.1699,0,0
0,0,0,3.8074,0,6.0233,3.8074,3,3,3,6.5721,3,0,0,0
2,5.7576,0,3.585,0,6.2168,2,4.4263,2,4.1699,6.4851,4.4263,2,2,0
0,0,3.9069,0,0,6.4458,0,0,0,0,6.0011,3.9069,0,0,0
2.8074,0,0,5.2095,0,6.5008,2.8074,4.2479,0,0,6.3707,2.8074,0,0,0
0,0,3,3.4594,0,6.1707,0,3,0,4.4594,6.5564,5.4479,4.4594,0,0
0,0,2.585,0,0,6.1003,0,2.585,0,0,6.3496,4.7004,4.1699,0,0
2.8074,0,0,0,0,6.0281,0,0,2.8074,0,6.3674,4.4594,0,0,0
2,2,4.0875,0,0,4.9542,2,3.4594,0,3.4594,6.7778,3.4594,2,0,0
0,0,0,2.3219,2.3219,6.2188,3.9069,0,0,0,5.8472,2.3219,0,0,0
0,2,3.4594,3.4594,2,5.5786,0,0,0,3.4594,6.8279,3.4594,0,0,0
0,0,2.8074,0,0,5.6999,0,2.8074,0,4.0875,6.1653,5.0444,2.8074,0,0
0,0,2.8074,4.7004,0,4.7004,0,5.1293,2.8074,0,6.3832,4.1699,3.7004,0,0
0,0,0,3,0,6.1863,3,0,4.2479,0,6.6285,4.2479,4.2479,3,0
0,0,0,3,0,5.8997,0,0,0,3,5.9642,3,3.8074,0,0
2.3219,4.585,4.3923,4.1699,0,6.1663,0,0,0,2.3219,6.5165,4.3923,2.3219,2.3219,0
0,4.1699,0,0,0,6.4616,0,2.8074,0,0,6.5114,2.8074,0,0,0
0,0,3.9069,3.9069,0,6.4573,0,0,0,0,6.0972,4.4919,3.1699,3.1699,0
0,2,4.5236,4.5236,0,6.4976,2,3.4594,0,3.4594,6.6106,4.9542,2,0,0
0,0,3,3.7004,0,6.0982,0,3.7004,0,3,6.5523,3,3,0,0
0,0,4.0875,3.1699,3.1699,5.917,3.1699,0,0,3.1699,6.2589,5.8377,0,0,0
0,0,0,4.1699,0,6.191,0,3,0,3.7004,6.627,0,3,0,0
0,0,0,0,0,6.9765,3.3219,3.3219,0,0,6.1485,4,0,3.3219,0
0,0,0,0,0,6.3484,0,4,0,0,6.5795,4,0,0,0
0,0,0,0,0,5.9338,0,3.4594,0,0,5.7949,4.2479,0,0,0
0,0,0,4.5236,0,5.9291,0,0,0,3.1699,6.0005,0,0,0,0
0,0,4.9069,4.9069,0,6.5618,0,0,0,0,6.1338,3.8074,0,0,0
0,2.8074,0,2.8074,0,5.9584,0,4.7004,0,2.8074,6.0301,3.7004,0,0,0
0,0,0,4.585,2.3219,5.6156,2.3219,0,0,2.3219,7.0638,5.7159,2.3219,0,0
0,0,3.4594,3.9069,2.585,3.9069,2.585,2.585,0,2.585,6.374,4.4594,2.585,0,0
0,0,0,3.9069,2.3219,3.9069,0,0,0,0,6.5461,3.9069,0,0,0
0,0,0,0,0,5.7455,0,0,0,4.585,6.0498,0,4.585,0,0
0,2.585,2.585,2.585,0,5.8582,0,2.585,0,0,5.8582,0,2.585,0,0
0,4.3219,0,0,0,5.6662,0,2.8074,0,2.8074,6.5256,2.8074,4.3219,0,0
0,6.6026,5.0968,2.3219,0,3.7004,0,2.3219,0,2.3219,6.6852,4.585,3.1699,0,0
3.585,0,0,0,0,5.8367,0,0,0,0,6.0217,5.3576,0,0,0
0,6.8013,3.9069,4.5236,0,5.9243,0,2,0,0,6.3804,3.9069,0,2,0
2,0,0,3.4594,0,5.6559,2,3,3.4594,3.4594,6.8773,4.7549,3.4594,0,0
0,5.3809,1.585,4.3923,0,6.3254,0,3,0,0,7.0935,4.6147,3,1.585,0
0,0,2,2.8074,0,7.1058,0,3.7004,0,0,6.9271,4.7279,5.4263,0,0
0,6.6169,1.585,3.8074,0,6.8704,3.8074,4.858,0,1.585,6.994,5.3782,5.7024,0,0
0,0,0,3.1699,0,5.6738,4.8074,0,0,0,7.005,4.1699,4.585,0,0
0,0,2.8074,3.8074,0,5.4594,2,3.8074,0,2,6.7623,2,5.1699,2,0
0,0,0,0,0,4.8074,0,3.4594,0,0,6.7206,2,4.8074,0,0
0,0,0,3.585,0,3,2,2,2,3,6.9695,3,3.585,2,0
0,0,0,2,0,6.347,0,0,0,0,6.5478,4.7549,4.0875,0,0
2.585,0,0,4.2479,0,4.4594,4.2479,0,0,3.1699,6.739,5.3399,3.1699,0,0
0,0,0,4.6439,2.3219,6.323,0,2.3219,0,0,6.8407,4.1699,4.1699,0,0
0,0,2.585,0,0,6.0672,3.4594,2.585,0,0,6.6212,2.585,4,0,0
2.8074,0,0,3.4594,0,6.3735,0,4.4594,0,0,6.3735,2.8074,2.8074,0,0
0,2,0,4.0875,0,6.1371,3.585,4.585,0,3.585,6.5889,5.4594,5.5662,3.585,0
0,0,0,0,0,6.8632,3.4594,3.4594,0,0,6.6758,3.4594,5,0,0
0,0,3.585,5.2288,0,4.0875,0,2.3219,0,2.3219,6.7905,4.585,5,0,0
0,2.585,2.585,2.585,0,6.4596,2.585,4.585,0,2.585,6.0607,2.585,5.6011,0,0
0,0,2.585,3.3219,0,5.1085,0,3.9069,0,0,6.4451,2.585,2.585,2.585,0
0,0,3.4594,3.4594,0,5.729,0,4,0,0,6.501,2.585,4,0,0
0,0,2.3219,0,0,5.8931,0,5.8931,0,4.1699,6.6609,4.1699,5.5546,0,0
0,0,2,2,2,4.7004,3.8074,0,0,0,6.6925,4.3219,4.3219,3.3219,0
0,0,0,4.0875,0,6.2869,2,4.858,0,2,6.2869,4.6439,2,0,0
2.3219,2.3219,3.8074,2.3219,0,5.3041,0,3.1699,0,4.2479,6.8439,4.2479,3.8074,2.3219,0
0,0,3.8074,0,0,5.4439,0,4.3219,0,2.8074,6.745,3.8074,5.7988,0,0
0,0,3,3,0,4.858,0,0,0,0,6.2711,3,5.4449,3,0
0,0,0,3,0,6.1369,0,0,0,0,6.705,3.7004,4.8074,0,0
0,0,0,0,0,5.6924,0,3.585,0,3.585,6.5242,2.8074,0,2.8074,0
0,0,0,4.1699,0,4.1699,0,0,0,2.3219,6.7439,2.3219,4.4263,0,0
0,0,0,4.5236,0,5.5236,0,4,0,4.5236,6.845,4,4,0,0
0,0,0,4.3923,0,6.4959,0,3.8074,0,0,6.9473,4.3923,3.8074,0,0
0,0,0,0,0,2.585,0,2.585,0,4.4594,5.5619,0,2.585,0,0
0,0,0,0,0,5.5135,0,3.585,0,0,6.6095,0,4.9542,0,0
0,0,0,3,0,4.5236,0,0,0,3,6.7207,0,5.1379,0,0
1.585,1.585,1.585,4.0875,0,6.3439,1.585,3.1699,0,0,6.9754,4.6628,4.3923,0,0
1.585,0,0,3.8074,2.3219,7.3752,0,3.1699,2.3219,0,7.0127,4,5.2479,0,0
2.585,2.585,1.585,4.1293,0,7.4219,3.3923,2.585,0,3.1699,6.8336,3.585,4.3219,0,0
1.585,1.585,0,4.8074,0,6.9372,0,4.3923,0,3.585,6.5038,4.5441,2.585,0,0
1.585,0,0,4.1432,0,7.1909,2,3.3923,0,1.585,7.1763,4.3923,5.3147,1.585,0
0,0,2,4.585,2,7.5451,3,2.585,2.585,3,6.8223,3,5.1293,2,0
2,0,0,3.7004,0,6.9814,2.585,3.9069,2,2,6.6971,4.2479,4.2479,0,0
2.585,0,0,3.585,0,2.585,2,3.1699,0,0,6.4393,3.585,3.7549,0,0
1.585,0,1.585,3.4594,0,6.9456,3,0,0,0,6.9092,4.3923,5.2854,2.585,0
0,0,0,4.1293,0,6.6336,1.585,3,1.585,1.585,7.2071,3,4.9227,0,0
1.585,0,0,3.8074,0,7.413,3.3219,2.8074,0,1.585,7.084,4.8909,4.6439,0,0
2,0,2,3.858,0,6.5629,2.585,3.7004,0,0,6.6862,4.4594,5.6699,0,0
0,1,1,3.1699,0,6.483,2.3219,3,1,1,6.7155,4.7004,4.2479,1,0
0,0,0,2.8074,0,7.4415,2,0,0,2.8074,6.4227,3.3219,5.7268,2.8074,0
0,0,1.585,3.7004,1.585,7.1538,2.8074,1.585,4.6047,0,6.7891,4.7371,4.9695,0,0
0,1,1,4.2095,0,6.9353,0,0,0,1,6.8104,4.3923,5.4094,0,0
0,0,2.3219,3.9069,0,7.4066,3.7004,4.9542,0,4.0875,6.9526,2.8074,4.858,0,0
1,0,1,3.0875,1,6.3923,2.3219,4.0875,0,4.0875,6.9594,3.9069,3.3219,1,0
2,0,0,3,0,7.1897,0,3,2,3,6.455,3.585,5.2479,0,0
1.585,0,2.3219,3.9542,0,6.3298,1.585,2.8074,1.585,0,7.056,3.7004,4.4148,2.3219,0
0,4.1432,3,3.585,2,6.489,2,4,0,4.2728,7.3132,4.8074,4.6147,0,0
0,0,0,3.9069,0,6.7932,1.585,4.4809,2.585,1.585,7.2897,5.1699,4.3219,0,0
2,0,0,4.5546,0,7.1602,3.585,3.8074,0,0,7.0384,4.3219,5.1699,0,0
0,0,0,3.2479,0,5.5978,2,1,0,1,6.9051,5.0179,5.4333,1,0
2,0,0,3.9069,0,7.5234,0,2,0,0,6.4705,2,5.8053,0,0
3.3219,0,2,3.3219,0,6.5162,0,3.3219,2,2,6.2662,3.3219,4.585,2,0
0,0,0,3.585,0,6.3302,3.3219,2.3219,1.585,2.3219,6.5899,4.3923,3.585,2.3219,0
2.3219,0,2.3219,3.8074,0,6.3313,3.8074,4.0444,0,1.585,6.6618,5.0444,4.7903,2.8074,0
0,0,1.585,3.7004,0,7.1407,1.585,2.8074,2.8074,0,6.4303,3.4594,3.9069,0,0
1.585,0,1.585,3.3219,0,6.9113,0,1.585,1.585,3.3219,6.9832,4.2479,5.4263,0,0
0,0,2.585,3.7549,0,5.8412,3.1699,3.585,0,2.585,7.1027,4.3219,4.9069,0,0
0,0,2.8074,2,0,5.2891,2,3.1699,1,4.3923,6.5972,4.2854,5,3.1699,0
0,0,3.3219,2.8074,0,6.8942,0,3.3219,3.3219,0,6.5464,3.3219,4.8826,2.8074,0
1,4.8074,3.858,3.585,0,6.4588,2,0,1,4.0875,7.083,4.6439,4.8074,2.585,0
2,0,0,4.3219,2,6.6543,0,2,0,0,7.1037,3.9069,5.2353,2,0
0,0,0,3.9069,0,6.6574,2,0,0,0,6.2662,4.3219,4.5236,0,0
0,0,0,3,1.585,6.649,1.585,0,1.585,0,6.2369,3.9069,3.9069,0,0
0,0,0,4,1.585,5.4803,0,0,1.585,0,7.0441,4.4594,4.2479,3.585,0
2,0,0,3.3219,0,6.1066,2,3.8074,0,0,6.1741,3.8074,3.3219,0,0
0,7.6189,2.585,4.1699,2.585,7.501,2,2,0,3.1699,6.6191,4.1699,5.4709,0,0
0,0,2,4.3219,0,7.0327,3.1699,4.5236,0,0,6.8532,3.1699,3.585,0,0
0,3.8074,3.3219,2,0,6.8122,0,3.8074,2,3.8074,6.4825,4.2479,5.1799,0,0
0,0,2,2,0,6.6911,0,2.585,2.585,2,6.5809,3.7004,4.1699,0,0
0,0,2.9069,3.1699,2.9069,6.0139,1.585,2.9069,1.585,2.585,6.77,3.7004,5.1293,1.585,0
1.585,0,0,2.3219,1.585,6.7002,0,2.3219,0,2.3219,6.6737,3.4594,4.5236,0,0
0,0,0,3.9069,0,6.3289,2.3219,4.3219,1.585,1.585,7.1763,4.3219,5.2854,1.585,0
0,0,1.585,2.8074,2.3219,5.6554,0,2.3219,0,2.3219,6.8358,2.8074,4.2479,1.585,0
0,0,0,3.1699,2,6.7774,0,3.1699,0,0,6.4323,3.1699,5.0875,2,0
1.585,1.585,3.585,3.585,0,6.5557,1.585,0,0,3.585,6.7405,4.2479,3.8074,1.585,0
2,2,2,3,0,6.1112,0,4,0,2,6.3464,4.1699,4.8074,2,0
0,0,2,4.1699,0,5.3635,2.585,2,0,2,6.6924,2.585,4.1699,0,0
0,2,3.9069,0,0,5.675,2,2.8074,0,2.8074,6.4624,2.8074,4.1699,0,0
0,0,0,0,0,5.9062,0,0,0,0,0,0,0,0,0
0,0,3.3219,2.3219,0,6.3087,0,3.3219,0,0,6.1158,4.6439,3.3219,2.3219,0
0,0,0,2.585,0,6.6774,4.6724,2.585,3.4594,0,5.8063,3.4594,4.3923,2.585,0
0,0,0,2,0,5.9607,2,0,0,0,6.6584,2,4.3923,0,0
0,0,0,4.9069,0,7.105,2.3219,3,0,2.3219,5.1699,4.0875,4.4594,0,0
